Date,Name,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10
4/1/25 7:51,Ying,Zootopia,Spider-Man,The Avengers,Coco,Avatar,Captain America,The Lion King,Iron Man,Frozen,Up
4/1/25 7:50,Olya,Starship Troopers,Call me by your name,Divergent,Maze Runner,Hunger Games,Home Alone,Spider man,,Mad max,Phantom Of the Opera
4/1/25 7:50,Alex,Oppenheimer,shutter island,the wolf of wall street,catch me if you can,inception,,,,,
4/1/25 7:50,Owen,John Wick,Hustle,Wicked,Challengers,The Social Network,Spiderman: Homecoming,Spiderman: Into the Spiderverse,I Saw the TV Glow,Space Jam,Mid 90's
4/1/25 7:50,leran,Zootopia,Mean Girls,Blade Runner,The Breakfast Club,Casablanca,Clueless,COCO,Crazy Rich Asians,Dead Poet Society,Fight Club
4/1/25 7:50,Julia,10 things I hate about you,lala land,to all the boys ive loved before,beautiful boy,perks of being a wallflower,the notebook,lilo and stitch,moana,princess and the frog,clueless
4/1/25 7:50,Victoria,La La Land,Ocean's Eleven,Fight Club,Scarface,Clueless,Kill Bill,Charlie's Angels,Breakfast at Tiffany's,Pearl,Anora
4/1/25 7:50,Sam,Avatar (blue people one),Gladiator I,Mad Max: Fury Road,Interstellar,How to Train Your Dragon,John Wick,All Quiet on the Western Front,300,Top Gun,Titanic
4/1/25 7:50,Wyatt,Stand by me,The Holdovers,Indiana Jones and The last crusade,The shining,Pride and prejudice,breakfast at tiffany's,Roman holiday,My fair lady,Sky high,The Batman
4/1/25 7:50,Allison,whiplash,how to lose a guy in 10 days,27 dresses,blended,,,,,,
4/1/25 7:50,Sophia,We're The Millers,Don't Look Up,Mamma Mia,The Imitation Game,,,,,,
4/1/25 7:50,Ron,Dallas Buyers Club,Interstellar,Django,Pulp Fiction,Godfather,Parasite,Nosferatu,Cars,Spiderman: Into the Spider Verse,Morbius
4/1/25 7:50,Tara,Scott Pilgrim vs The World,Eternal Sunshine of the Spotless Mind,The Menu,The Breakfast Club,Bend it like Beckham,Cars,,,,
4/1/25 7:50,Tolu,Black Panther,Let It Shine,Wicked,Moana 2,Mufasa,Carry On,The Hate You Give,Think Like A Man,Guardians of the Galaxy,Infinity War
4/1/25 7:50,Matteo,WALL-E,The Godfather,Anora,Good Fellas,Oppenheimer,Inception,The Dark Knight,Dune,The Shining,Fight Club
4/1/25 7:50,Hanna,Bridesmaids,Coraline,Ma,Donnie Darko,Someone Great,Lovebirds,The Third Man,The Little Mermaid,,Pitch Perfect
4/1/25 7:50,Interstellar,Django Unchained,Goodwill Hunting,Entergalactic,Spiderman into the spiderverse,Inception,Edward Scissorhands,Indiana Jones,Flow,Mufasa,21 Jump street
4/1/25 7:50,Connor,Interstellar,Toy Story,Wall-e,,,,,,,
4/1/25 7:50,prajana,legally blonde,big hero 6,wicked,Star Wars: The Force Awakens,Avengers endgame,,,,,
4/1/25 7:50,Madison,,,,,,,,,,
4/1/25 7:50,Steve,The green book,the lorax,star trek,,,,,,,
